RANK,GENE_SYMBOL,NUMBER_PATHWAYS
1,MAPK3,119
2,MAPK1,119
3,PIK3CD,108
4,PIK3CB,108
5,PIK3CA,108
6,PIK3R3,105
7,PIK3R2,105
8,PIK3R1,105
9,AKT1,102
10,AKT2,102
11,AKT3,102
12,MAP2K1,91
13,HRAS,84
14,RAF1,83
15,KRAS,83
16,NRAS,80
17,MAP2K2,79
18,RELA,76
19,NFKB1,76
20,PRKCA,75
21,MAPK8,74
22,MAPK9,74
23,MAPK10,74
24,PRKCB,73
25,PRKACG,72
26,PRKACB,72
27,PRKACA,72
28,TNF,67
29,MAPK12,64
30,MAPK13,64
31,MAPK14,64
32,PRKCG,64
33,MAPK11,64
34,PLCB4,63
35,PLCB3,63
36,PLCB2,63
37,PLCB1,63
38,IKBKB,59
39,ADCY5,57
40,JUN,56
41,ADCY9,54
42,RAC1,54
43,ADCY6,54
44,ADCY3,54
45,ADCY1,54
46,IKBKG,53
47,CHUK,53
48,ADCY8,53
49,GNAS,53
50,ADCY4,52
51,ADCY2,52
52,ADCY7,51
53,MTOR,51
54,IL6,51
55,TP53,51
56,GRB2,51
57,GNAQ,50
58,ITPR3,50
59,BAX,50
60,ITPR1,50
61,EGFR,49
62,NFKBIA,49
63,SOS1,48
64,CCND1,48
65,SOS2,48
66,GSK3B,47
67,CASP3,46
68,PLCG1,46
69,ITPR2,46
70,FOS,45
71,BRAF,44
72,IL1B,44
73,SRC,44
74,CALML4,43
75,CALM3,43
76,RHOA,43
77,CALML3,43
78,CALM2,43
79,CALM1,43
80,GNAI1,43
81,GNAI2,43
82,CREB1,43
83,GNAI3,43
84,CALML5,43
85,BCL2,43
86,BAD,43
87,CALML6,43
88,CDKN1A,41
89,PLCG2,41
90,ATF4,40
91,CASP8,37
92,ARAF,36
93,CASP9,35
94,CREB3L2,35
95,CREB3L4,35
96,TNFRSF1A,35
97,CREB3L1,35
98,CREB3,35
99,TGFB1,35
100,CACNA1D,35
101,CREB3L3,35
102,MYC,34
103,ACTB,34
104,CREB5,34
105,CACNA1C,34
106,ACTG1,34
107,CYCS,34
108,CAMK2A,34
109,CAMK2B,34
110,CAMK2D,34
111,CAMK2G,34
112,CXCL8,33
113,PPP3CA,33
114,STAT3,33
115,TRAF2,33
116,PPP3CC,33
117,TRAF6,33
118,BAK1,33
119,PPP3CB,33
120,IFNG,32
121,IGF1,32
122,FAS,32
123,CDC42,32
124,PPP3R1,32
125,CTNNB1,32
126,PPP3R2,32
127,TLR4,31
128,FASLG,31
129,RPS6KB1,31
130,EGF,31
131,RPS6KB2,31
132,TGFB2,31
133,INS,31
134,IGF1R,30
135,IGH,30
136,RAC2,29
137,STAT1,29
138,MAP3K7,29
139,IFNB1,28
140,BCL2L1,28
141,CDK4,28
142,JAK1,28
143,CREBBP,28
144,ITGB1,28
145,PTEN,28
146,TGFB3,28
147,FADD,28
148,EP300,28
149,ATF2,27
150,CACNA1F,27
151,CACNA1S,27
152,PDPK1,27
153,PTK2,26
154,JAK2,26
155,MYD88,26
156,E2F1,26
157,IFNA5,25
158,ITGB3,25
159,IFNA4,25
160,IFNA8,25
161,IFNA6,25
162,TBK1,25
163,IFNA7,25
164,IL12B,25
165,MAP2K7,25
166,NFATC1,25
167,IL12A,25
168,IFNA14,25
169,IFNA21,25
170,RB1,25
171,IFNA2,25
172,MDM2,25
173,IFNA1,25
174,IFNA10,25
175,IFNA13,25
176,IFNA16,25
177,IFNA17,25
178,ATF6B,25
179,MAP2K6,24
180,TRADD,24
181,RAC3,24
182,VEGFA,24
183,BID,24
184,PTGS2,23
185,MET,23
186,TGFBR2,23
187,TGFBR1,23
188,GADD45A,23
189,GADD45B,23
190,GADD45G,23
191,PLA2G4F,23
192,TLR2,23
193,PLA2G4E,23
194,PLA2G4D,23
195,PLA2G4C,23
196,PLA2G4B,23
197,PLA2G4A,23
198,INSR,23
199,CDK6,23
200,NFATC2,23
201,IL10,23
202,E2F3,23
203,E2F2,23
204,SHC1,22
205,PPP1CB,22
206,PPP1CC,22
207,PPP1CA,22
208,SHC2,22
209,ERBB2,22
210,GNG12,22
211,GNG13,22
212,IRAK4,22
213,GNB1,22
214,ROCK2,22
215,SHC4,22
216,SMAD3,22
217,NFATC3,21
218,GNA11,21
219,IRS1,21
220,TCF7,21
221,IRF3,21
222,PTPN11,21
223,GRIN2B,21
224,GNGT1,21
225,GNG7,21
226,GNB3,21
227,SHC3,21
228,MAP2K3,21
229,TAB2,21
230,GNAO1,21
231,ROCK1,21
232,IL1A,21
233,APAF1,21
234,PDGFRA,20
235,GRIN2A,20
236,SMAD2,20
237,GNG2,20
238,GNG3,20
239,GNGT2,20
240,GNG10,20
241,GNG11,20
242,IL2,20
243,DDB2,20
244,ITGA5,20
245,CRKL,20
246,PDGFB,20
247,GNG8,20
248,GNG5,20
249,GNG4,20
250,TCF7L1,20
251,IRAK1,20
252,ITGB2,20
253,TRAF3,20
254,PRKAA1,20
255,PRKAA2,20
256,GNB5,20
257,PAK1,20
258,TCF7L2,20
259,GNB4,20
260,CRK,20
261,MAP2K4,20
262,GNB2,20
263,MAP3K5,20
264,STAT5B,19
265,GRIN1,19
266,ATP1A2,19
267,ATP1A3,19
268,LEF1,19
269,ATP1B3,19
270,ATP1A4,19
271,ATP1B1,19
272,PPP2CB,19
273,ATP1B2,19
274,CDKN1B,19
275,PPP2CA,19
276,SMAD4,19
277,ITGAV,19
278,NOS2,19
279,VDAC1,19
280,CDK2,19
281,CCND2,19
282,NOS3,19
283,PDGFA,19
284,ATP1A1,19
285,PDGFRB,19
286,VDAC3,19
287,ATP1B4,19
288,NFKBIB,19
289,IKBKE,18
290,FCGR3B,18
291,HDAC2,18
292,NOS1,18
293,TAB1,18
294,CDKN2A,18
295,HDAC1,18
