GENE_ID,GENE_SYMBOL,PATHWAY_ID,PATHWAY_NAME
hsa:84532,ACSS1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:55902,ACSS2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:124,ADH1A,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:125,ADH1B,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:126,ADH1C,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:127,ADH4,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:128,ADH5,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:130,ADH6,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:131,ADH7,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:83440,ADPGK,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:10327,AKR1A1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:219,ALDH1B1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:217,ALDH2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:218,ALDH3A1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:224,ALDH3A2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:221,ALDH3B1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:222,ALDH3B2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:501,ALDH7A1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:223,ALDH9A1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:226,ALDOA,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:229,ALDOB,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:230,ALDOC,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:669,BPGM,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:1737,DLAT,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:1738,DLD,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:2023,ENO1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:2026,ENO2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:2027,ENO3,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:387712,ENO4,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:2203,FBP1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:8789,FBP2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:2538,G6PC1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:57818,G6PC2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:92579,G6PC3,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:130589,GALM,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:2597,GAPDH,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:26330,GAPDHS,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:2645,GCK,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:2821,GPI,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:3098,HK1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:3099,HK2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:3101,HK3,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:80201,HKDC1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:3939,LDHA,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:160287,LDHAL6A,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:92483,LDHAL6B,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:3945,LDHB,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:3948,LDHC,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:9562,MINPP1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5105,PCK1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5106,PCK2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5160,PDHA1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5161,PDHA2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5162,PDHB,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5211,PFKL,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5213,PFKM,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5214,PFKP,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5223,PGAM1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5224,PGAM2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:441531,PGAM4,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5230,PGK1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5232,PGK2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5236,PGM1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:55276,PGM2,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5313,PKLR,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:5315,PKM,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:7167,TPI1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
hsa:47,ACLY,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:48,ACO1,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:50,ACO2,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:1431,CS,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:1737,DLAT,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:1738,DLD,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:1743,DLST,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:2271,FH,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:3417,IDH1,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:3418,IDH2,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:3419,IDH3A,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:3420,IDH3B,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:3421,IDH3G,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:4190,MDH1,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:4191,MDH2,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
