PATHWAY_ID1,PATHWAY_ID2,OVERLAP_COUNT
hsa05010,hsa05022,337
hsa05014,hsa05022,298
hsa05016,hsa05022,254
hsa05012,hsa05022,231
hsa05014,hsa05016,227
hsa05020,hsa05022,223
hsa05010,hsa05020,218
hsa05010,hsa05012,211
hsa05010,hsa05014,209
hsa05010,hsa05016,205
hsa05014,hsa05020,191
hsa05012,hsa05020,189
hsa04151,hsa05200,187
hsa05016,hsa05020,187
hsa05012,hsa05014,182
hsa05012,hsa05016,180
hsa05165,hsa05200,167
hsa04151,hsa05165,161
hsa01100,hsa01240,152
hsa05163,hsa05200,150
hsa05200,hsa05225,142
hsa05200,hsa05224,139
hsa05010,hsa05208,138
hsa05200,hsa05226,138
hsa01100,hsa05208,137
hsa00190,hsa01100,135
hsa05010,hsa05415,135
hsa05022,hsa05415,134
hsa05163,hsa05170,134
hsa05022,hsa05208,132
hsa04014,hsa05200,131
hsa05208,hsa05415,130
hsa04010,hsa04014,129
hsa05020,hsa05415,129
hsa05020,hsa05208,128
hsa00230,hsa01100,127
hsa01100,hsa04714,126
hsa05163,hsa05167,124
hsa04080,hsa04082,123
hsa04014,hsa04151,118
hsa01100,hsa05022,117
hsa01100,hsa01200,116
hsa01100,hsa05415,116
hsa04932,hsa05010,116
hsa04151,hsa04510,115
hsa05167,hsa05200,115
hsa05016,hsa05415,114
hsa05224,hsa05226,114
hsa04010,hsa05200,113
hsa04014,hsa04015,113
hsa04015,hsa05200,113
hsa04714,hsa05020,112
hsa05012,hsa05208,112
hsa05012,hsa05415,112
hsa05016,hsa05208,112
hsa05200,hsa05205,112
hsa05200,hsa05207,112
hsa01100,hsa05010,111
hsa01100,hsa05014,110
hsa01100,hsa05016,110
hsa05167,hsa05170,110
hsa04714,hsa05016,109
hsa04010,hsa04151,108
hsa04714,hsa05208,108
hsa04932,hsa05022,108
hsa05130,hsa05132,108
hsa04714,hsa05022,107
hsa05014,hsa05208,107
hsa05170,hsa05200,107
hsa05225,hsa05226,107
hsa00190,hsa04714,106
hsa04714,hsa05014,106
hsa04714,hsa05415,104
hsa05014,hsa05415,104
hsa01100,hsa05012,103
hsa04080,hsa04081,103
hsa04714,hsa05012,103
hsa04932,hsa05020,103
hsa04060,hsa04630,102
hsa04714,hsa05010,102
hsa04932,hsa05415,102
hsa05017,hsa05022,102
hsa05161,hsa05200,102
hsa05168,hsa05169,102
hsa01100,hsa05020,101
hsa04613,hsa05034,101
hsa04932,hsa05208,101
hsa04060,hsa04061,100
hsa05164,hsa05168,100
hsa04510,hsa04810,99
hsa00190,hsa05010,98
hsa00190,hsa05012,98
hsa00190,hsa05014,98
hsa00190,hsa05016,98
hsa00190,hsa05020,98
hsa00190,hsa05022,98
hsa05022,hsa05200,98
hsa05224,hsa05225,98
hsa00190,hsa05208,97
hsa00190,hsa05415,97
hsa04510,hsa05165,97
hsa05010,hsa05200,97
hsa05200,hsa05417,96
hsa04010,hsa04015,95
hsa04062,hsa05163,95
hsa04151,hsa05163,95
hsa04932,hsa05014,95
hsa05010,hsa05017,95
hsa05163,hsa05165,95
hsa04613,hsa05322,94
hsa03010,hsa05171,93
hsa04015,hsa04151,93
hsa04934,hsa05200,93
hsa05163,hsa05417,92
hsa05167,hsa05417,92
hsa05170,hsa05417,92
hsa05200,hsa05222,92
hsa04510,hsa05200,90
hsa04630,hsa05200,90
hsa05131,hsa05132,90
hsa04062,hsa05200,89
hsa04714,hsa04932,89
hsa04932,hsa05012,89
hsa05161,hsa05163,89
hsa05161,hsa05167,89
hsa05161,hsa05169,89
hsa05161,hsa05417,89
hsa05162,hsa05169,89
hsa05165,hsa05224,89
hsa05166,hsa05200,89
hsa05410,hsa05414,89
hsa04916,hsa05200,88
hsa04926,hsa05200,88
hsa05167,hsa05169,88
hsa05169,hsa05200,88
hsa04932,hsa05016,87
hsa05034,hsa05322,87
hsa05160,hsa05165,87
hsa00564,hsa01100,85
hsa04810,hsa05200,85
hsa05169,hsa05170,85
hsa05200,hsa05210,85
hsa01100,hsa01232,84
hsa04310,hsa05200,84
hsa05164,hsa05169,84
hsa04015,hsa04810,83
hsa05165,hsa05167,83
hsa01100,hsa04932,82
hsa04020,hsa05200,82
hsa04151,hsa04810,82
hsa05016,hsa05017,82
hsa05160,hsa05161,82
hsa05161,hsa05170,82
hsa05162,hsa05168,81
hsa05165,hsa05205,81
hsa05165,hsa05226,81
hsa04114,hsa04914,80
hsa04150,hsa05165,80
