hsa:102466751	miRNA	1:complement(17369..17436)	MIR6859-1, hsa-mir-6859-1; microRNA 6859-1
hsa:100302278	miRNA	1:30366..30503	MIR1302-2, MIRN1302-2, hsa-mir-1302-2; microRNA 1302-2
hsa:79501	CDS	1:65419..71585	OR4F5; olfactory receptor family 4 subfamily F member 5
hsa:102465909	miRNA	1:complement(187891..187958)	MIR6859-2, hsa-mir-6859-2; microRNA 6859-2
hsa:112268260	CDS	1:complement(365134..382235)	uncharacterized LOC112268260
hsa:729759	CDS	1:complement(450740..451678)	OR4F29, OR7-21; olfactory receptor family 4 subfamily F member 29
hsa:124904706	ncRNA	1:complement(516376..516479)	U6 spliceosomal RNA
hsa:105378947	CDS	1:complement(586287..611297)	proline-rich extensin-like protein EPR1
hsa:113219467	miRNA	1:complement(632615..632685)	MIR12136; microRNA 12136
hsa:81399	CDS	1:complement(676076..720101)	OR4F16, OR1-1, OR7-21; olfactory receptor family 4 subfamily F member 16
hsa:148398	CDS	1:923923..944574	SAMD11, MRS; sterile alpha motif domain containing 11
hsa:26155	CDS	1:complement(944203..959256)	NOC2L, NET15, NET7, NIR, PPP1R112; NOC2 like nucleolar associated transcriptional repressor
hsa:339451	CDS	1:960584..965719	KLHL17, AF; kelch like family member 17
hsa:84069	CDS	1:966482..975865	PLEKHN1, CLPABP; pleckstrin homology domain containing N1
hsa:84808	CDS	1:complement(975198..982093)	PERM1, C1orf170; PPARGC1 and ESRR induced regulator, muscle 1
hsa:57801	CDS	1:complement(998964..1000097)	HES4, bHLHb42; hes family bHLH transcription factor 4
hsa:9636	CDS	1:1013497..1014540	ISG15, G1P2, IFI15, IMD38, IP17, UCRP, hUCRP; ISG15 ubiquitin like modifier
hsa:375790	CDS	1:1020120..1056116	AGRN, AGRIN, CMS8, CMSPPD; agrin
hsa:401934	CDS	1:complement(1070967..1074306)	RNF223; ring finger protein 223
hsa:54991	CDS	1:complement(1081823..1116089)	C1orf159; chromosome 1 open reading frame 159
hsa:406984	miRNA	1:1167104..1167198	MIR200B, MIRN200B, mir-200b; microRNA 200b
hsa:406983	miRNA	1:1167863..1167952	MIR200A, MIRN200A, mir-200a; microRNA 200a
hsa:554210	miRNA	1:1169005..1169087	MIR429, MIRN429, hsa-mir-429, mir-429; microRNA 429
hsa:254173	CDS	1:1173880..1197936	TTLL10, TTLL5; tubulin tyrosine ligase like 10
hsa:8784	CDS	1:complement(1203508..1206592)	TNFRSF18, AITR, CD357, ENERGEN, GITR, GITR-D; TNF receptor superfamily member 18
hsa:7293	CDS	1:complement(1211340..1214153)	TNFRSF4, ACT35, CD134, IMD16, OX40, TXGP1L; TNF receptor superfamily member 4
hsa:51150	CDS	1:complement(1216931..1232001)	SDF4, Cab45, SDF-4; stromal cell derived factor 4
hsa:126792	CDS	1:1232237..1235041	B3GALT6, ALGAZ, EDSP2, EDSSPD2, SEMDJL1, beta3GalT6; beta-1,3-galactosyltransferase 6
hsa:388581	CDS	1:complement(1242453..1247280)	C1QTNF12, C1QDC2, CTRP12, FAM132A; C1q and TNF related 12
hsa:118424	CDS	1:complement(1253912..1273854)	UBE2J2, NCUBE-2, NCUBE2, PRO2121, UBC6; ubiquitin conjugating enzyme E2 J2
hsa:6339	CDS	1:1280436..1292025	SCNN1D, ENaCd, ENaCdelta, SCNED, dNaCh; sodium channel epithelial 1 subunit delta
hsa:116983	CDS	1:complement(1292391..1307930)	ACAP3, CENTB5; ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
hsa:102465434	miRNA	1:complement(1296110..1296170)	MIR6726, hsa-mir-6726; microRNA 6726
hsa:109623456	ncRNA	1:complement(1304729..1304812)	SNORD167; small nucleolar RNA, C/D box 167
hsa:126789	CDS	1:1308597..1311677	PUSL1; pseudouridine synthase like 1
hsa:54973	CDS	1:complement(1311600..1324660)	INTS11, CPSF3L, CPSF73L, INT11, NEDMLOB, PSF3L, RC-68, RC68; integrator complex subunit 11
hsa:102465435	miRNA	1:complement(1312502..1312566)	MIR6727, hsa-mir-6727; microRNA 6727
hsa:80772	CDS	1:1324802..1328896	CPTP, GLTPD1; ceramide-1-phosphate transfer protein
hsa:83756	CDS	1:1331280..1335314	TAS1R3, T1R3; taste 1 receptor member 3
hsa:1855	CDS	1:complement(1335278..1349418)	DVL1, DRS2, DVL, DVL1L1, DVL1P1; dishevelled segment polarity protein 1
hsa:102466740	miRNA	1:complement(1339650..1339708)	MIR6808, hsa-mir-6808; microRNA 6808
hsa:54587	CDS	1:complement(1352689..1363541)	MXRA8, ASP3; matrix remodeling associated 8
hsa:54998	CDS	1:complement(1373736..1375207)	AURKAIP1, AIP, AKIP, MRP-S38, mS38; aurora kinase A interacting protein 1
hsa:81669	CDS	1:complement(1385711..1399335)	CCNL2, ANIA-6B, CCNM, CCNS, HCLA-ISO, HLA-ISO, PCEE, SB138; cyclin L2
hsa:55052	CDS	1:complement(1401909..1407293)	MRPL20, L20mt, MRP-L20, bL20m; mitochondrial ribosomal protein L20
hsa:441869	CDS	1:complement(1418420..1421276)	ANKRD65; ankyrin repeat domain 65
hsa:643965	CDS	1:1425871..1430255	TMEM278, TMEM88B; transmembrane protein 278
hsa:107985729	CDS	1:1433233..1435549	uncharacterized LOC107985729
hsa:64856	CDS	1:1435690..1442882	VWA1, HMNMYO, HMNR7, WARP; von Willebrand factor A domain containing 1
hsa:219293	CDS	1:1449689..1470163	ATAD3C; ATPase family AAA domain containing 3C
hsa:83858	CDS	1:1471765..1509466	ATAD3B, AAA-TOB3, TOB3; ATPase family AAA domain containing 3B
hsa:55210	CDS	1:1512162..1534685	ATAD3A, HAYOS, PHRINL; ATPase family AAA domain containing 3A
hsa:339453	CDS	1:complement(1534778..1540624)	TMEM240, C1orf70, SCA21; transmembrane protein 240
hsa:29101	CDS	1:complement(1541673..1574863)	SSU72, HSPC182, PNAS-120; SSU72 homolog, RNA polymerase II CTD phosphatase
hsa:643988	CDS	1:complement(1598012..1600135)	FNDC10, C1orf233; fibronectin type III domain containing 10
hsa:142678	CDS	1:1613731..1630605	MIB2, ZZANK1, ZZZ5; MIB E3 ubiquitin protein ligase 2
hsa:8510	CDS	1:1632173..1634654	MMP23B, MIFR, MIFR-1, MMP22, MMP23A; matrix metallopeptidase 23B
hsa:984	CDS	1:complement(1635225..1659004)	CDK11B, CDC2L1, CDK11, CDK11-p110, CDK11-p46, CDK11-p58, CLK-1, PITSLREA, PK58, p58, p58CDC2L1, p58CLK-1; cyclin dependent kinase 11B
hsa:728661	CDS	1:complement(1661478..1692795)	SLC35E2B, SLC35E2; solute carrier family 35 member E2B
hsa:728642	CDS	1:complement(1702379..1724357)	CDK11A, CDC2L2, CDC2L3, CDK11-p110, CDK11-p46, CDK11-p58, PITSLRE, p58GTA; cyclin dependent kinase 11A
hsa:65220	CDS	1:complement(1751232..1780514)	NADK, NADK1, dJ283E3.1; NAD kinase
hsa:2782	CDS	1:complement(1785286..1891087)	GNB1, HG2A, MDS, MRD42; G protein subunit beta 1
hsa:163688	CDS	1:1915260..1917296	CALML6, CAGLP; calmodulin like 6
hsa:339456	CDS	1:complement(1917591..1919279)	TMEM52; transmembrane protein 52
hsa:85452	CDS	1:complement(1921957..2003786)	CFAP74, C1orf222, CILD49, KIAA1751; cilia and flagella associated protein 74
hsa:2563	CDS	1:2019345..2030758	GABRD, EIG10, EJM7, GABAARdelta, GEFSP5; gamma-aminobutyric acid type A receptor subunit delta
hsa:5590	CDS	1:2048504..2185395	PRKCZ, PKC-ZETA, PKC2; protein kinase C zeta
hsa:199990	CDS	1:complement(2184477..2212720)	FAAP20, C1orf86, FP7162; FA core complex associated protein 20
hsa:6497	CDS	1:2228319..2310213	SKI, SGS, SKV; SKI proto-oncogene
hsa:79906	CDS	1:complement(2321253..2391554)	MORN1; MORN repeat containing 1
hsa:11079	CDS	1:2391841..2405436	RER1; retention in endoplasmic reticulum sorting receptor 1
hsa:5192	CDS	1:complement(2403974..2413827)	PEX10, NALD, PBD6A, PBD6B, RNF69; peroxisomal biogenesis factor 10
hsa:9651	CDS	1:2415943..2505532	PLCH2, PLC-L4, PLC-eta2, PLCL4, PLCeta2; phospholipase C eta 2
hsa:55229	CDS	1:complement(2508537..2526596)	PANK4, CTRCT49; pantothenate kinase 4 (inactive)
hsa:388585	CDS	1:complement(2528745..2530263)	HES5, bHLHb38; hes family bHLH transcription factor 5
hsa:8764	CDS	1:2554234..2563829	TNFRSF14, ATAR, CD270, HVEA, HVEM, LIGHTR, TR2; TNF receptor superfamily member 14
hsa:127281	CDS	1:2586523..2591468	PRXL2B, C1orf93, FAM213B; peroxiredoxin like 2B
hsa:79258	CDS	1:complement(2590639..2633016)	MMEL1, MMEL2, NEP2, NEPII, NL1, NL2, SEP; membrane metalloendopeptidase like 1
hsa:100287898	CDS	1:complement(2636986..2801693)	TTC34; tetratricopeptide repeat domain 34
hsa:140625	CDS	1:3021467..3022903	ACTRT2, ARPM2, ARPT2, Arp-T2, HARPM2; actin related protein T2
hsa:124903827	CDS	1:complement(3055423..3075562)	translation initiation factor IF-2
hsa:63976	CDS	1:3069203..3438621	PRDM16, CMD1LL, KMT8F, LVNC8, MEL1, PFM13; PR/SET domain 16
hsa:100422968	miRNA	1:3127975..3128035	MIR4251; microRNA 4251
hsa:124903828	CDS	1:3266945..3297275	collagen alpha-5(IV) chain-like
hsa:27237	CDS	1:3454665..3481113	ARHGEF16, GEF16, NBR; Rho guanine nucleotide exchange factor 16
hsa:1953	CDS	1:complement(3487951..3624786)	MEGF6, EGFL3; multiple EGF like domains 6
hsa:693135	miRNA	1:complement(3560695..3560790)	MIR551A, MIRN551A, mir-551a; microRNA 551a
hsa:127262	CDS	1:3625015..3630127	TPRG1L, FAM79A, SVAP30, TPRGL, h-mover, mover; tumor protein p63 regulated 1 like
hsa:49856	CDS	1:complement(3630770..3650103)	WRAP73, WDR8; WD repeat containing, antisense to TP73
hsa:7161	CDS	1:3652516..3736201	TP73, CILD47, P73; tumor protein p73
hsa:148870	CDS	1:3752450..3771645	CCDC27; coiled-coil domain containing 27
hsa:388588	CDS	1:3772749..3775956	SMIM1, Vel; small integral membrane protein 1 (Vel blood group)
hsa:57470	CDS	1:complement(3778559..3796498)	LRRC47; leucine rich repeat containing 47
